1,-29.9979,27.4387,6.69534
2,-29.9963,135.19,6.56345
3,-29.9952,143.314,9.70333
4,-29.9941,55.5596,8.53149
5,-29.9925,-54.366,9.7098
6,-29.9704,60.6156,8.65868
7,-29.97,85.5879,9.7877
8,-29.9678,-0.128,6.91339
9,-29.9672,-107.308,8.16634
10,-29.9671,104.105,8.58976
11,-29.9637,-162.727,6.74933
12,-29.963,-162.092,7.14693
13,-29.9546,-3.86,7.84261
14,-29.949,104.714,7.61405
15,-29.9432,60.9226,6.58105
16,-29.9377,66.2821,7.55223
17,-29.937,38.4184,8.89804
18,-29.9355,15.3236,9.70391
19,-29.9341,105.178,6.73364
20,-29.9286,-97.827,9.94681
21,-29.927,88.6431,6.03355
22,-29.9227,118.099,6.89276
23,-29.9159,44.1173,7.96786
24,-29.9099,176.253,8.49365
25,-29.9067,177.66,7.84005
26,-29.9006,152.07,6.7031
27,-29.8992,40.3092,8.10926
28,-29.897,64.9848,8.48656
29,-29.8926,-136.599,7.1208
30,-29.8888,131.607,8.50144
31,-29.8876,34.0795,9.90208
32,-29.8841,4.4741,7.62056
33,-29.8653,-82.266,6.68759
34,-29.8608,112.182,6.44904
35,-29.8605,-136.317,9.70311
36,-29.8596,-176.595,7.78884
37,-29.8577,132.403,6.88834
38,-29.8528,47.4311,8.30816
39,-29.8459,130.351,8.45345
40,-29.8433,95.4795,6.79124
41,-29.8388,42.3485,7.17857
42,-29.8319,139.119,6.08129
43,-29.8315,-138.892,6.6298
44,-29.8302,45.7124,6.36268
45,-29.8302,61.6583,8.27877
46,-29.8284,-163.8,6.1731
47,-29.828,-1.873,9.51466
48,-29.828,125.193,6.80215
49,-29.8265,26.496,7.41061
50,-29.8233,-45.71,6.84873
51,-29.8228,148.498,6.1457
52,-29.8187,-118.729,6.56719
53,-29.8157,64.4025,6.37002
54,-29.8108,-161.823,8.63264
55,-29.8076,-54.522,6.82709
56,-29.8008,-161.157,6.30324
57,-29.8008,58.7057,8.86163
58,-29.7992,-174.669,6.0839
59,-29.7984,-15.771,6.25883
60,-29.7964,46.901,6.37922
61,-29.7895,26.6482,9.29247
62,-29.7877,-43.601,6.3903
63,-29.7827,15.6615,6.1081
64,-29.7813,178.213,8.08421
65,-29.7791,176.444,9.67224
66,-29.776,-3.283,6.52609
67,-29.7636,-155.788,7.06796
68,-29.7625,54.8324,6.7022
69,-29.7622,-164.37,6.40783
70,-29.7602,136.867,9.17463
71,-29.76,92.405,9.37717
72,-29.7576,134.313,6.45212
73,-29.755,-134.134,6.79267
74,-29.7524,-125.796,8.12735
75,-29.7511,115.386,6.14803
76,-29.7499,125.951,9.85046
77,-29.7333,130.219,8.32104
78,-29.7314,128.609,6.20268
79,-29.7297,17.1588,7.88122
80,-29.7261,61.0044,8.56055
81,-29.7172,-143.156,6.23817
82,-29.7145,123.643,6.24625
83,-29.7126,-173.34,9.51186
84,-29.7079,164.845,9.1254
85,-29.707,114.497,7.77753
86,-29.6914,30.0422,7.27882
87,-29.6888,50.6882,6.58841
88,-29.6866,127.277,6.86887
89,-29.6825,0.421761,6.19479
90,-29.6808,100.944,8.09416
91,-29.6769,-144.083,6.24593
92,-29.6733,128.22,7.01509
93,-29.6695,-163.655,8.86736
94,-29.6664,54.5894,8.43575
95,-29.6631,-133.116,7.17109
96,-29.6588,114.709,8.05634
97,-29.6572,15.7464,8.11765
98,-29.6562,90.7951,6.68716
99,-29.65,116.754,6.3621
100,-29.6435,128.497,6.31289
